#time,current,voltage,power,charge,energy
0.0,0.372148,5.16512,1.92217,0,0
0.5,0.371373,5.16516,1.91818,0.185686,0.959092
1.0,0.373264,5.16507,1.92792,0.372319,1.92305
1.5,0.371608,5.16517,1.9194,0.558123,2.88275
2.0,0.371494,5.1652,1.91883,0.74387,3.84216
2.5,0.371896,5.16516,1.92089,0.929818,4.80261
3.0,0.371244,5.16522,1.91754,1.11544,5.76138
3.5,0.373485,5.16508,1.92906,1.30218,6.72591
4.0,0.371651,5.16515,1.91962,1.48801,7.68572
4.5,0.372129,5.16512,1.92207,1.67407,8.64675
5.0,0.371362,5.16516,1.91813,1.85975,9.60582
5.5,0.373765,5.16503,1.93049,2.04664,10.5711
6.0,0.371199,5.16518,1.91729,2.23223,11.5297
6.5,0.371875,5.16519,1.92079,2.41817,12.4901
7.0,0.371856,5.16516,1.92068,2.6041,13.4504
7.5,0.37158,5.16514,1.91925,2.78989,14.4101
8.0,0.373806,5.16504,1.93071,2.97679,15.3754
8.5,0.371439,5.16517,1.91853,3.16251,16.3347
9.0,0.372358,5.16511,1.92325,3.34869,17.2963
9.5,0.371715,5.16512,1.91994,3.53455,18.2563
10.0,0.141238,5.17661,0.730629,3.60517,18.6216
10.5,0.0476538,5.18129,0.246879,3.629,18.745
11.0,0.0308555,5.18218,0.159895,3.64442,18.825
11.5,0.0314034,5.18214,0.162733,3.66012,18.9063
12.0,0.0311483,5.18216,0.161411,3.6757,18.9871
12.5,0.0309313,5.18211,0.160286,3.69116,19.0672
13.0,0.0306115,5.1821,0.158629,3.70647,19.1465
13.5,0.03081,5.18213,0.159658,3.72188,19.2263
14.0,0.0307587,5.18213,0.159393,3.73725,19.306
14.5,0.0305324,5.18216,0.158221,3.75252,19.3851
15.0,0.03079,5.18216,0.159555,3.76792,19.4649
15.5,0.0303862,5.1822,0.157465,3.78311,19.5437
16.0,0.0307401,5.1822,0.159298,3.79848,19.6233
16.5,0.0304773,5.18222,0.157937,3.81372,19.7023
17.0,0.030554,5.18222,0.158334,3.82899,19.7814
17.5,0.0305695,5.18223,0.158415,3.84428,19.8606
18.0,0.030409,5.18221,0.157583,3.85948,19.9394
18.5,0.0306409,5.18212,0.158781,3.8748,20.0188
19.0,0.0302328,5.18216,0.156668,3.88992,20.0972
19.5,0.0306226,5.18215,0.158688,3.90523,20.1765
20.0,0.0303659,5.18214,0.157357,3.92041,20.2552
20.5,0.0306222,5.18212,0.158685,3.93573,20.3345
21.0,0.0302804,5.18212,0.156914,3.95087,20.413
21.5,0.0305599,5.18215,0.158363,3.96615,20.4922
22.0,0.0301597,5.18218,0.15629,3.98123,20.5703
22.5,0.0305514,5.18216,0.158319,3.9965,20.6495
23.0,0.0302519,5.18214,0.156766,4.01163,20.7279
23.5,0.0303974,5.18215,0.15752,4.02683,20.8066
24.0,0.0303978,5.18217,0.157523,4.04203,20.8854
24.5,0.0302412,5.18217,0.156712,4.05715,20.9637
25.0,0.0304977,5.18214,0.15804,4.07239,21.0428
25.5,0.0300956,5.18217,0.155958,4.08744,21.1207
26.0,0.0304876,5.18219,0.157989,4.10269,21.1997
26.5,0.0302135,5.1822,0.156569,4.11779,21.278
27.0,0.0303239,5.18217,0.15714,4.13295,21.3566
27.5,0.030324,5.18219,0.157142,4.14812,21.4352
28.0,0.0301188,5.18224,0.15608,4.16318,21.5132
28.5,0.0303891,5.18218,0.157478,4.17837,21.5919
29.0,0.0299827,5.18217,0.155373,4.19336,21.6696
29.5,0.0303515,5.18216,0.157283,4.20854,21.7483
