#time,current,voltage,power,charge,energy
0.0,0.455242,5.16223,2.35005,0,0
0.5,0.457679,5.16207,2.36255,0.228839,1.18128
1.0,0.455136,5.16221,2.34949,0.456407,2.35602
1.5,0.455526,5.16224,2.35152,0.68417,3.53178
2.0,0.456934,5.16225,2.35879,0.912637,4.71118
2.5,0.430917,5.16358,2.22499,1.1281,5.82367
3.0,0.372443,5.16653,1.92422,1.31432,6.78578
3.5,0.37213,5.16651,1.9226,1.50038,7.74708
4.0,0.37437,5.16634,1.9341,1.68757,8.71413
4.5,0.372295,5.16642,1.92342,1.87371,9.67584
5.0,0.372584,5.16642,1.92491,2.06001,10.6383
5.5,0.372091,5.16638,1.92235,2.24605,11.5995
6.0,0.37263,5.16632,1.92511,2.43237,12.562
6.5,0.373933,5.16622,1.9318,2.61933,13.5279
7.0,0.372299,5.16627,1.92338,2.80548,14.4896
7.5,0.372386,5.1662,1.9238,2.99168,15.4515
8.0,0.37239,5.16621,1.92382,3.17787,16.4134
8.5,0.374545,5.16605,1.9349,3.36514,17.3809
9.0,0.372229,5.1662,1.92299,3.55126,18.3424
9.5,0.372823,5.16614,1.92604,3.73767,19.3054
10.0,0.372165,5.16617,1.92265,3.92375,20.2667
10.5,0.373072,5.16614,1.92732,4.11029,21.2304
11.0,0.373912,5.16613,1.93166,4.29724,22.1962
11.5,0.372185,5.16625,1.92279,4.48334,23.1576
12.0,0.372752,5.16621,1.9257,4.66971,24.1205
12.5,0.372269,5.16624,1.92321,4.85585,25.0821
13.0,0.374902,5.16606,1.93675,5.0433,26.0504
13.5,0.372345,5.16623,1.9236,5.22947,27.0122
14.0,0.372704,5.16621,1.92545,5.41582,27.975
14.5,0.372542,5.16617,1.9246,5.60209,28.9373
15.0,0.373279,5.16616,1.9284,5.78873,29.9015
15.5,0.374568,5.16603,1.93501,5.97602,30.869
16.0,0.372297,5.16617,1.92333,6.16217,31.8306
16.5,0.372799,5.16614,1.92592,6.34857,32.7936
17.0,0.372549,5.16614,1.92462,6.53484,33.7559
17.5,0.37548,5.166,1.93972,6.72258,34.7258
18.0,0.374723,5.16596,1.93579,6.90994,35.6937
