#time,current,voltage,power,charge,energy
0.0,0.781721,5.14043,4.01836,0,0
0.5,0.78115,5.1404,4.0154,0.390575,2.0077
1.0,0.782068,5.14039,4.02011,0.781609,4.01776
1.5,0.780701,5.14051,4.01318,1.17196,6.02435
2.0,0.782824,5.1405,4.02408,1.56337,8.03639
2.5,0.782448,5.1405,4.02215,1.9546,10.0475
3.0,0.780365,5.1406,4.01152,2.34478,12.0532
3.5,0.783206,5.14049,4.02604,2.73638,14.0662
4.0,0.782301,5.14053,4.02142,3.12753,16.077
4.5,0.782439,5.14053,4.02213,3.51875,18.088
5.0,0.782733,5.14048,4.0236,3.91012,20.0998
5.5,0.781958,5.14056,4.01968,4.3011,22.1097
6.0,0.783199,5.14056,4.02606,4.6927,24.1227
6.5,0.78191,5.14056,4.01944,5.08365,26.1324
7.0,0.782878,5.14054,4.02439,5.47509,28.1446
7.5,0.783361,5.14054,4.02688,5.86677,30.158
8.0,0.782018,5.14057,4.02,6.25778,32.168
8.5,0.783459,5.14049,4.02734,6.64951,34.1817
9.0,0.782293,5.14058,4.02142,7.04066,36.1924
9.5,0.782929,5.14054,4.02466,7.43212,38.2048
10.0,0.783421,5.14053,4.02718,7.82383,40.2183
10.5,0.781872,5.14063,4.01929,8.21477,42.228
11.0,0.783229,5.14057,4.02622,8.60638,44.2411
11.5,0.782208,5.14063,4.02102,8.99749,46.2516
12.0,0.782847,5.14063,4.02431,9.38891,48.2638
12.5,0.783346,5.1406,4.02685,9.78058,50.2772
13.0,0.782053,5.14063,4.02022,10.1716,52.2873
13.5,0.783357,5.14054,4.02686,10.5633,54.3007
14.0,0.782359,5.14058,4.02175,10.9545,56.3116
14.5,0.7831,5.14051,4.02551,11.346,58.3244
15.0,0.783471,5.14047,4.02739,11.7378,60.3381
15.5,0.781962,5.14058,4.01972,12.1287,62.3479
16.0,0.783373,5.14048,4.02689,12.5204,64.3614
16.5,0.782328,5.14055,4.02157,12.9116,66.3722
17.0,0.782876,5.14054,4.02439,13.303,68.3843
17.5,0.783441,5.14054,4.02729,13.6947,70.398
18.0,0.782043,5.14065,4.02019,14.0858,72.4081
18.5,0.78347,5.14056,4.02745,14.4775,74.4218
19.0,0.78239,5.14059,4.02193,14.8687,76.4328
19.5,0.783121,5.14056,4.02566,15.2603,78.4456
20.0,0.783458,5.14055,4.02738,15.652,80.4593
20.5,0.782024,5.14063,4.02007,16.043,82.4693
21.0,0.783348,5.1406,4.02686,16.4347,84.4828
21.5,0.782323,5.14065,4.02163,16.8258,86.4936
22.0,0.783135,5.14059,4.02576,17.2174,88.5065
22.5,0.783518,5.14054,4.02769,17.6092,90.5203
23.0,0.782117,5.14061,4.02054,18.0002,92.5306
23.5,0.78355,5.14054,4.02785,18.392,94.5445
24.0,0.782517,5.14058,4.02257,18.7832,96.5558
24.5,0.783128,5.14056,4.02569,19.1748,98.5686
25.0,0.783488,5.14052,4.02752,19.5666,100.582
25.5,0.782044,5.14061,4.02016,19.9576,102.592
26.0,0.783409,5.14057,4.02715,20.3493,104.606
26.5,0.782349,5.14063,4.02174,20.7405,106.617
27.0,0.783194,5.14061,4.02608,21.1321,108.63
27.5,0.783484,5.14056,4.02753,21.5238,110.644
28.0,0.782135,5.14062,4.02064,21.9149,112.654
28.5,0.783528,5.14059,4.02778,22.3066,114.668
29.0,0.78244,5.14068,4.02225,22.6978,116.679
29.5,0.78323,5.14064,4.02628,23.0895,118.692
30.0,0.783446,5.14061,4.02737,23.4812,120.706
30.5,0.781999,5.14069,4.01999,23.8722,122.716
31.0,0.783532,5.14059,4.02779,24.264,124.73
31.5,0.782377,5.14061,4.02187,24.6551,126.741
32.0,0.78314,5.14059,4.02578,25.0467,128.754
32.5,0.783571,5.14059,4.02799,25.4385,130.768
33.0,0.782181,5.14065,4.0209,25.8296,132.778
33.5,0.783583,5.14052,4.028,26.2214,134.792
34.0,0.782491,5.14061,4.02246,26.6126,136.803
34.5,0.783262,5.14059,4.02641,27.0043,138.816
35.0,0.783503,5.14055,4.02762,27.396,140.83
35.5,0.782104,5.14065,4.0205,27.7871,142.841
36.0,0.783549,5.14056,4.02785,28.1788,144.854
36.5,0.782403,5.14063,4.02202,28.57,146.865
37.0,0.783301,5.14057,4.02659,28.9617,148.879
37.5,0.783571,5.14053,4.02794,29.3535,150.893
38.0,0.782124,5.14065,4.0206,29.7445,152.903
38.5,0.783633,5.14057,4.0283,30.1363,154.917
39.0,0.782569,5.14066,4.0229,30.5276,156.929
39.5,0.783175,5.14059,4.02596,30.9192,158.942
40.0,0.783507,5.14055,4.02764,31.311,160.955
40.5,0.78206,5.14063,4.02027,31.702,162.966
41.0,0.783485,5.14054,4.02751,32.0937,164.979
41.5,0.782416,5.14057,4.02204,32.485,166.99
42.0,0.78329,5.14052,4.0265,32.8766,169.004
42.5,0.783587,5.14048,4.02799,33.2684,171.018
43.0,0.782189,5.14061,4.02091,33.6595,173.028
43.5,0.783659,5.14054,4.02841,34.0513,175.042
44.0,0.782541,5.14061,4.02272,34.4426,177.054
44.5,0.78333,5.14058,4.02675,34.8343,179.067
45.0,0.783535,5.14057,4.0278,35.226,181.081
45.5,0.7821,5.14068,4.0205,35.6171,183.091
46.0,0.783612,5.1406,4.02821,36.0089,185.105
46.5,0.78259,5.14061,4.02297,36.4002,187.117
47.0,0.783264,5.14059,4.02641,36.7918,189.13
47.5,0.783676,5.14059,4.02854,37.1836,191.144
48.0,0.782287,5.14071,4.02149,37.5748,193.155
48.5,0.78367,5.14066,4.02856,37.9666,195.169
49.0,0.782605,5.14069,4.02311,38.3579,197.181
49.5,0.783285,5.14065,4.02658,38.7496,199.194
50.0,0.783526,5.14068,4.02784,39.1413,201.208
50.5,0.782243,5.14076,4.0213,39.5324,203.219
51.0,0.783629,5.14065,4.02834,39.9243,205.233
51.5,0.782607,5.14065,4.02309,40.3156,207.244
52.0,0.783451,5.14064,4.02741,40.7073,209.258
52.5,0.78368,5.1406,4.02856,41.0991,211.272
53.0,0.782291,5.1407,4.0215,41.4903,213.283
53.5,0.783781,5.14062,4.0291,41.8822,215.298
54.0,0.782648,5.14061,4.02326,42.2735,217.309
54.5,0.783234,5.14063,4.02629,42.6651,219.322
55.0,0.783614,5.14062,4.02823,43.0569,221.337
55.5,0.782261,5.14068,4.02133,43.448,223.347
56.0,0.783614,5.14063,4.02825,43.8399,225.361
56.5,0.782676,5.14065,4.02344,44.2312,227.373
57.0,0.783421,5.14063,4.02726,44.6229,229.387
57.5,0.7829,5.14065,4.0246,45.0143,231.399
58.0,0.781192,5.14073,4.01588,45.4049,233.407
58.5,0.782662,5.14064,4.02337,45.7963,235.419
59.0,0.781501,5.14074,4.01748,46.187,237.427
59.5,0.782274,5.14069,4.02141,46.5782,239.438
60.0,0.782479,5.14067,4.02244,46.9694,241.449
60.5,0.781045,5.14076,4.01515,47.3599,243.457
61.0,0.782629,5.14068,4.02322,47.7512,245.468
61.5,0.781587,5.14078,4.01795,48.142,247.477
62.0,0.782228,5.14074,4.02121,48.5331,249.488
62.5,0.782712,5.14074,4.0237,48.9245,251.5
63.0,0.781321,5.14086,4.01664,49.3152,253.508
63.5,0.782679,5.14075,4.02354,49.7065,255.52
64.0,0.781619,5.14074,4.01808,50.0973,257.529
64.5,0.782326,5.14071,4.02169,50.4885,259.54
65.0,0.782629,5.1407,4.02324,50.8798,261.551
65.5,0.781275,5.1408,4.01636,51.2704,263.56
66.0,0.782897,5.14073,4.02464,51.6619,265.572
66.5,0.781806,5.14075,4.01905,52.0528,267.581
67.0,0.782716,5.1407,4.02368,52.4441,269.593
67.5,0.782966,5.1407,4.02497,52.8356,271.606
68.0,0.781646,5.14078,4.01825,53.2264,273.615
68.5,0.783235,5.1407,4.02635,53.6181,275.628
69.0,0.78203,5.14075,4.0202,54.0091,277.638
69.5,0.782762,5.14067,4.0239,54.4005,279.65
70.0,0.783224,5.14065,4.02626,54.7921,281.663
70.5,0.781954,5.14072,4.01979,55.183,283.673
71.0,0.783473,5.14065,4.02754,55.5748,285.687
71.5,0.782501,5.14071,4.02259,55.966,287.698
72.0,0.783378,5.14068,4.02707,56.3577,289.712
72.5,0.783737,5.14069,4.02893,56.7496,291.726
73.0,0.782503,5.14072,4.0226,57.1408,293.738
73.5,0.783991,5.14065,4.0302,57.5328,295.753
74.0,0.782942,5.14072,4.02487,57.9243,297.765
74.5,0.783883,5.14065,4.02964,58.3162,299.78
75.0,0.78421,5.14066,4.03134,58.7084,301.796
75.5,0.782906,5.14071,4.02467,59.0998,303.808
76.0,0.784596,5.14066,4.03332,59.4921,305.825
76.5,0.783352,5.14077,4.02701,59.8838,307.838
77.0,0.78408,5.14072,4.03072,60.2758,309.853
77.5,0.784472,5.14067,4.03269,60.6681,311.87
78.0,0.783054,5.14073,4.02544,61.0596,313.883
78.5,0.784304,5.14071,4.03186,61.4517,315.898
79.0,0.78331,5.14071,4.02675,61.8434,317.912
79.5,0.783979,5.1407,4.03018,62.2354,319.927
80.0,0.784272,5.14073,4.03171,62.6275,321.943
80.5,0.783014,5.14077,4.02527,63.019,323.955
81.0,0.784412,5.14073,4.03243,63.4112,325.972
81.5,0.783198,5.14078,4.02623,63.8028,327.985
82.0,0.784048,5.14073,4.03056,64.1949,330
82.5,0.78422,5.14079,4.03149,64.587,332.016
83.0,0.782762,5.14083,4.02403,64.9783,334.028
83.5,0.784218,5.14075,4.03145,65.3705,336.043
84.0,0.783063,5.1408,4.02555,65.762,338.056
84.5,0.783777,5.14075,4.02918,66.1539,340.071
85.0,0.784227,5.14073,4.03148,66.546,342.087
85.5,0.7829,5.14082,4.02473,66.9374,344.099
86.0,0.784349,5.14074,4.03211,67.3296,346.115
86.5,0.783342,5.14083,4.02701,67.7213,348.129
87.0,0.784182,5.14079,4.03129,68.1134,350.144
87.5,0.784426,5.14075,4.03252,68.5056,352.16
88.0,0.783068,5.14081,4.02559,68.8971,354.173
88.5,0.784479,5.14075,4.03279,69.2894,356.19
89.0,0.783197,5.14087,4.02629,69.681,358.203
89.5,0.784157,5.14083,4.03119,70.073,360.218
90.0,0.784329,5.14081,4.03207,70.4652,362.234
90.5,0.782985,5.14088,4.02521,70.8567,364.247
91.0,0.784541,5.14077,4.03312,71.249,366.264
91.5,0.783412,5.14087,4.0274,71.6407,368.277
92.0,0.784184,5.14081,4.03132,72.0328,370.293
92.5,0.784471,5.14082,4.0328,72.425,372.309
93.0,0.78297,5.14094,4.02518,72.8165,374.322
93.5,0.784356,5.14082,4.03221,73.2087,376.338
94.0,0.783265,5.14085,4.02663,73.6003,378.351
94.5,0.784048,5.14078,4.0306,73.9923,380.367
95.0,0.784422,5.14076,4.03251,74.3845,382.383
95.5,0.783056,5.14089,4.02558,74.7761,384.396
96.0,0.784483,5.14079,4.03284,75.1683,386.412
96.5,0.783362,5.14082,4.0271,75.56,388.426
97.0,0.784262,5.1408,4.03171,75.9521,390.441
97.5,0.784497,5.14088,4.03298,76.3444,392.458
98.0,0.782948,5.14097,4.02509,76.7358,394.471
98.5,0.784562,5.14089,4.03332,77.1281,396.487
99.0,0.783281,5.14098,4.02681,77.5198,398.501
99.5,0.784122,5.14093,4.03109,77.9118,400.516
100.0,0.78455,5.14093,4.03329,78.3041,402.533
100.5,0.783137,5.14101,4.0261,78.6957,404.546
101.0,0.784686,5.14091,4.03398,79.088,406.563
101.5,0.783777,5.14095,4.02933,79.4799,408.577
102.0,0.784393,5.1409,4.03246,79.8721,410.594
102.5,0.784588,5.1409,4.03346,80.2644,412.61
103.0,0.78326,5.14096,4.02669,80.656,414.624
103.5,0.784725,5.14095,4.03421,81.0484,416.641
104.0,0.783406,5.14099,4.02746,81.4401,418.655
104.5,0.784274,5.14094,4.03189,81.8322,420.671
105.0,0.784559,5.14095,4.03336,82.2245,422.687
105.5,0.783203,5.141,4.02643,82.6161,424.7
106.0,0.784824,5.14089,4.03467,83.0085,426.718
106.5,0.783658,5.14095,4.02872,83.4003,428.732
107.0,0.784426,5.1409,4.03263,83.7925,430.748
107.5,0.784609,5.14092,4.03359,84.1849,432.765
108.0,0.783179,5.14099,4.02629,84.5764,434.778
108.5,0.784561,5.14091,4.03334,84.9687,436.795
109.0,0.783494,5.14098,4.02791,85.3605,438.809
109.5,0.784448,5.14095,4.03279,85.7527,440.825
110.0,0.784606,5.14092,4.03358,86.145,442.842
110.5,0.783332,5.14098,4.02707,86.5367,444.856
111.0,0.784871,5.14091,4.03493,86.9291,446.873
111.5,0.783686,5.14105,4.02895,87.3209,448.888
112.0,0.784571,5.14097,4.03343,87.7132,450.904
112.5,0.784548,5.14097,4.03332,88.1055,452.921
113.0,0.783232,5.14103,4.02659,88.4971,454.934
113.5,0.7847,5.14097,4.0341,88.8895,456.951
114.0,0.783458,5.14101,4.02774,89.2812,458.965
114.5,0.784487,5.14099,4.03302,89.6734,460.982
115.0,0.784672,5.141,4.03398,90.0658,462.999
115.5,0.783255,5.14102,4.02671,90.4574,465.012
