#time,current,voltage,power,charge,energy
0.0,0.581812,5.12281,2.98049,0,0
0.5,0.581348,5.12284,2.97813,0.290674,1.48907
1.0,0.534256,5.12518,2.73797,0.557802,2.85805
1.5,0.457785,5.12899,2.34796,0.786695,4.03204
2.0,0.458724,5.12892,2.35274,1.01606,5.2084
2.5,0.457796,5.12895,2.34799,1.24495,6.3824
3.0,0.458927,5.12889,2.35377,1.47442,7.55929
3.5,0.45799,5.12891,2.34897,1.70341,8.73377
4.0,0.420124,5.1308,2.15547,1.91347,9.81151
4.5,0.373257,5.13311,1.91595,2.1001,10.7695
5.0,0.37375,5.13314,1.91849,2.28698,11.7287
5.5,0.375065,5.13304,1.92521,2.47451,12.6913
6.0,0.373694,5.13309,1.91819,2.66136,13.6504
6.5,0.373018,5.13314,1.91473,2.84787,14.6078
7.0,0.373499,5.13312,1.9172,3.03462,15.5664
7.5,0.375176,5.13307,1.92579,3.2222,16.5293
8.0,0.373583,5.13312,1.91763,3.409,17.4881
8.5,0.373575,5.13308,1.91757,3.59578,18.4469
9.0,0.373417,5.13308,1.91676,3.78249,19.4053
9.5,0.373774,5.13308,1.91859,3.96938,20.3646
10.0,0.375245,5.13297,1.9261,4.157,21.3276
10.5,0.37378,5.13301,1.9186,4.34389,22.2869
11.0,0.373379,5.133,1.91654,4.53058,23.2452
11.5,0.373508,5.13307,1.91722,4.71733,24.2038
12.0,0.375306,5.13292,1.9264,4.90499,25.167
12.5,0.373839,5.13295,1.91888,5.09191,26.1264
13.0,0.373599,5.13293,1.91764,5.27871,27.0853
13.5,0.373656,5.13294,1.91794,5.46553,28.0442
14.0,0.373708,5.13296,1.91821,5.65239,29.0033
14.5,0.374845,5.13291,1.92402,5.83981,29.9654
15.0,0.373975,5.13294,1.91957,6.0268,30.9251
15.5,0.373212,5.133,1.91568,6.2134,31.883
16.0,0.373721,5.13295,1.91827,6.40026,32.8421
16.5,0.375277,5.13288,1.92623,6.5879,33.8052
17.0,0.373901,5.13296,1.9192,6.77485,34.7648
17.5,0.373738,5.13295,1.91836,6.96172,35.724
18.0,0.373545,5.1329,1.91736,7.1485,36.6827
18.5,0.373979,5.13286,1.91957,7.33548,37.6425
19.0,0.375377,5.1328,1.92672,7.52317,38.6058
19.5,0.373873,5.13284,1.91902,7.71011,39.5653
20.0,0.373504,5.13279,1.9171,7.89686,40.5239
20.5,0.373632,5.13281,1.91776,8.08368,41.4828
21.0,0.375524,5.13264,1.92741,8.27144,42.4465
21.5,0.373917,5.13273,1.9192,8.4584,43.4061
22.0,0.373907,5.13272,1.91914,8.64535,44.3657
22.5,0.373593,5.13271,1.91753,8.83215,45.3244
23.0,0.373843,5.13269,1.9188,9.01907,46.2838
23.5,0.375615,5.13263,1.92787,9.20688,47.2478
24.0,0.373854,5.13277,1.91889,9.3938,48.2072
24.5,0.373532,5.13278,1.91724,9.58057,49.1658
25.0,0.373769,5.13277,1.91846,9.76745,50.125
25.5,0.375648,5.13266,1.92806,9.95528,51.0891
26.0,0.374233,5.13272,1.92082,10.1424,52.0495
26.5,0.374094,5.13274,1.92011,10.3294,53.0095
27.0,0.37329,5.13271,1.91597,10.5161,53.9675
27.5,0.374027,5.13265,1.91973,10.7031,54.9274
28.0,0.375643,5.13259,1.92801,10.8909,55.8914
28.5,0.373916,5.13269,1.91918,11.0779,56.851
29.0,0.373831,5.13267,1.91873,11.2648,57.8104
29.5,0.373548,5.13267,1.91728,11.4516,58.769
30.0,0.376052,5.13251,1.93007,11.6396,59.734
30.5,0.374236,5.1326,1.92078,11.8267,60.6944
31.0,0.374263,5.13258,1.92092,12.0138,61.6549
31.5,0.373457,5.13268,1.91682,12.2006,62.6133
32.0,0.373793,5.13267,1.91854,12.3875,63.5726
32.5,0.377051,5.13245,1.93518,12.576,64.5402
33.0,0.375135,5.13256,1.92539,12.7636,65.5028
33.5,0.374295,5.13258,1.92108,12.9507,66.4634
34.0,0.373372,5.13262,1.91636,13.1374,67.4216
34.5,0.376193,5.13243,1.93077,13.3255,68.387
35.0,0.373613,5.13256,1.91757,13.5123,69.3457
35.5,0.373987,5.13253,1.91948,13.6993,70.3055
36.0,0.373903,5.13253,1.91905,13.8862,71.265
36.5,0.373585,5.13256,1.91743,14.073,72.2237
37.0,0.377133,5.13234,1.93556,14.2616,73.1915
37.5,0.375947,5.13245,1.92951,14.4496,74.1563
38.0,0.375417,5.13247,1.9268,14.6373,75.1197
38.5,0.373446,5.13258,1.91672,14.824,76.078
39.0,0.376365,5.13241,1.93164,15.0122,77.0438
39.5,0.375527,5.13249,1.92737,15.2,78.0075
40.0,0.373906,5.13257,1.91908,15.3869,78.9671
40.5,0.374118,5.13258,1.92018,15.574,79.9272
41.0,0.373739,5.13253,1.91821,15.7608,80.8863
41.5,0.376824,5.13239,1.93399,15.9492,81.8533
42.0,0.373582,5.13251,1.9174,16.136,82.812
42.5,0.37447,5.13243,1.92193,16.3233,83.7729
43.0,0.373584,5.13244,1.91738,16.5101,84.7316
