#time,current,voltage,power,charge,energy
0.0,0.0189559,5.14768,0.0975786,0,0
0.5,0.0189466,5.14766,0.09753,0.0094733,0.048765
1.0,0.0189381,5.14764,0.0974857,0.0189423,0.0975079
1.5,0.0189225,5.14768,0.0974065,0.0284036,0.146211
2.0,0.0189114,5.14767,0.0973493,0.0378593,0.194886
2.5,0.0189047,5.14767,0.0973147,0.0473117,0.243543
3.0,0.0189049,5.14763,0.0973149,0.0567641,0.292201
3.5,0.0189014,5.14762,0.0972967,0.0662149,0.340849
4.0,0.0188982,5.14762,0.0972804,0.075664,0.389489
4.5,0.0188965,5.14763,0.0972714,0.0851122,0.438125
5.0,0.0188918,5.14762,0.0972469,0.0945581,0.486748
5.5,0.0188935,5.14763,0.0972559,0.104005,0.535376
6.0,0.0188928,5.14766,0.0972533,0.113451,0.584003
6.5,0.0188926,5.14767,0.0972521,0.122898,0.632629
7.0,0.0188904,5.14768,0.0972413,0.132343,0.68125
7.5,0.0188902,5.14762,0.0972388,0.141788,0.729869
8.0,0.0188915,5.14762,0.0972457,0.151234,0.778492
8.5,0.0188926,5.14764,0.0972519,0.16068,0.827118
9.0,0.0188941,5.14763,0.0972594,0.170127,0.875747
9.5,0.0188937,5.14765,0.0972573,0.179574,0.924376
10.0,0.0188903,5.14762,0.0972396,0.189019,0.972996
10.5,0.0188891,5.14761,0.0972331,0.198464,1.02161
11.0,0.0188856,5.1476,0.0972147,0.207906,1.07022
11.5,0.0188883,5.14761,0.0972291,0.21735,1.11883
12.0,0.0188935,5.14764,0.0972562,0.226797,1.16746
12.5,0.018892,5.14761,0.0972482,0.236243,1.21609
13.0,0.0188917,5.14759,0.097246,0.245689,1.26471
13.5,0.0188922,5.1476,0.097249,0.255135,1.31333
14.0,0.018892,5.14762,0.0972481,0.264581,1.36196
14.5,0.01889,5.14758,0.097237,0.274026,1.41058
15.0,0.0188933,5.14756,0.0972539,0.283473,1.4592
15.5,0.0188911,5.14762,0.0972437,0.292918,1.50783
16.0,0.0188877,5.1476,0.0972257,0.302362,1.55644
16.5,0.0188856,5.14761,0.0972153,0.311805,1.60505
17.0,0.018885,5.14754,0.0972109,0.321248,1.65365
17.5,0.0188832,5.14756,0.0972019,0.330689,1.70225
18.0,0.0188816,5.14758,0.097194,0.34013,1.75085
18.5,0.0188812,5.14756,0.0971915,0.349571,1.79945
19.0,0.0188797,5.14753,0.0971833,0.35901,1.84804
19.5,0.0188801,5.14752,0.0971852,0.36845,1.89663
20.0,0.0188807,5.14754,0.0971887,0.377891,1.94522
20.5,0.0188846,5.14757,0.0972092,0.387333,1.99383
21.0,0.0188853,5.14759,0.0972132,0.396776,2.04243
21.5,0.018883,5.14759,0.097201,0.406217,2.09104
22.0,0.0188835,5.14757,0.0972035,0.415659,2.13964
22.5,0.0188834,5.14755,0.0972025,0.425101,2.18824
23.0,0.0188827,5.14756,0.0971992,0.434542,2.23684
23.5,0.0188796,5.14755,0.0971832,0.443982,2.28543
24.0,0.0188791,5.14757,0.0971806,0.453421,2.33402
24.5,0.0188794,5.1476,0.0971832,0.462861,2.38261
25.0,0.0188823,5.14756,0.0971968,0.472302,2.43121
25.5,0.0188815,5.14751,0.097192,0.481743,2.47981
26.0,0.018882,5.14748,0.0971943,0.491184,2.5284
26.5,0.018885,5.14749,0.0972098,0.500627,2.57701
27.0,0.018887,5.14753,0.0972207,0.51007,2.62562
27.5,0.0188841,5.14749,0.097205,0.519512,2.67422
28.0,0.0188831,5.14752,0.0972005,0.528954,2.72282
28.5,0.0188858,5.14749,0.0972136,0.538396,2.77143
29.0,0.018886,5.1475,0.0972148,0.547839,2.82004
29.5,0.0188835,5.14751,0.0972022,0.557281,2.86864
30.0,0.0188859,5.1475,0.0972145,0.566724,2.91724
30.5,0.0188871,5.14747,0.0972199,0.576168,2.96585
31.0,0.0188884,5.14741,0.0972255,0.585612,3.01447
31.5,0.0188845,5.14739,0.0972053,0.595054,3.06307
32.0,0.0188864,5.14742,0.0972154,0.604497,3.11168
32.5,0.0188849,5.14745,0.0972088,0.61394,3.16028
33.0,0.0188845,5.1474,0.0972058,0.623382,3.20888
33.5,0.0188807,5.1474,0.097186,0.632822,3.25748
34.0,0.0188826,5.14741,0.0971958,0.642264,3.30607
34.5,0.0188818,5.14738,0.0971913,0.651705,3.35467
35.0,0.0188882,5.14735,0.0972236,0.661149,3.40328
35.5,0.0188933,5.14736,0.0972501,0.670595,3.45191
36.0,0.0188937,5.14735,0.0972518,0.680042,3.50053
36.5,0.0188902,5.14733,0.0972336,0.689487,3.54915
37.0,0.0188898,5.14735,0.097232,0.698932,3.59777
